module_path,module_type,in_channels,gen_out_channels,snow_out_channels,reason,status
model.23.cv3.1.1.0.conv,Conv2d,64,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv3.1.1.1.conv,Conv2d,64,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv3.1.2,Conv2d,64,11,8,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv3.2.0.0.conv,Conv2d,256,256,256,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv3.2.0.1.conv,Conv2d,256,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv3.2.1.0.conv,Conv2d,64,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv3.2.1.1.conv,Conv2d,64,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.cv3.2.2,Conv2d,64,11,8,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv2.0.0.conv,Conv2d,64,16,16,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv2.0.1.conv,Conv2d,16,16,16,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv2.0.2,Conv2d,16,4,4,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv2.1.0.conv,Conv2d,128,16,16,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv2.1.1.conv,Conv2d,16,16,16,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv2.1.2,Conv2d,16,4,4,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv2.2.0.conv,Conv2d,256,16,16,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv2.2.1.conv,Conv2d,16,16,16,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv2.2.2,Conv2d,16,4,4,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv3.0.0.0.conv,Conv2d,64,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv3.0.0.1.conv,Conv2d,64,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv3.0.1.0.conv,Conv2d,64,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv3.0.1.1.conv,Conv2d,64,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv3.0.2,Conv2d,64,11,8,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv3.1.0.0.conv,Conv2d,128,128,128,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv3.1.0.1.conv,Conv2d,128,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv3.1.1.0.conv,Conv2d,64,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv3.1.1.1.conv,Conv2d,64,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv3.1.2,Conv2d,64,11,8,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv3.2.0.0.conv,Conv2d,256,256,256,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv3.2.0.1.conv,Conv2d,256,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv3.2.1.0.conv,Conv2d,64,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv3.2.1.1.conv,Conv2d,64,64,64,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
model.23.one2one_cv3.2.2,Conv2d,64,11,8,Detect-head root protected during the first dependency audit,PROTECTED_NOT_A_T1_T2_ROOT
