split,file_name,primary_class,object_count
train,00040994.jpg,car,1
train,00054614.jpg,car,5
train,00101520.jpg,car,1
train,00105544.jpg,motorcycle,2
train,00020132.jpg,motorized_vehicle,2
train,00058949.jpg,car,3
train,00101694.jpg,bus,2
train,00075293.jpg,pickup_truck,1
train,00090168.jpg,car,5
train,00099739.jpg,non_motorized_vehicle,3
train,00060312.jpg,car,1
train,00108834.jpg,car,3
train,00072544.jpg,car,2
train,00000744.jpg,car,2
train,00022934.jpg,car,4
train,00070344.jpg,pickup_truck,2
train,00054868.jpg,bus,1
train,00064404.jpg,car,4
train,00029184.jpg,car,1
train,00091827.jpg,pickup_truck,2
train,00023653.jpg,car,4
train,00028094.jpg,car,3
train,00019891.jpg,car,3
train,00096380.jpg,car,4
train,00096430.jpg,car,6
train,00087619.jpg,car,2
train,00033095.jpg,car,5
train,00099455.jpg,car,2
train,00037974.jpg,articulated_truck,3
train,00087306.jpg,car,2
train,00105717.jpg,bus,3
train,00091342.jpg,articulated_truck,2
train,00053153.jpg,car,4
train,00091524.jpg,car,6
train,00069083.jpg,car,4
train,00085558.jpg,car,2
train,00093011.jpg,car,3
train,00103187.jpg,car,2
train,00057480.jpg,car,1
train,00034842.jpg,car,2
train,00089270.jpg,pickup_truck,6
train,00085682.jpg,car,2
train,00050945.jpg,car,2
train,00090748.jpg,car,1
train,00060086.jpg,car,3
train,00068873.jpg,car,4
train,00040046.jpg,articulated_truck,4
train,00061169.jpg,car,5
train,00097088.jpg,car,1
train,00050076.jpg,car,1
train,00067274.jpg,car,2
train,00054398.jpg,pickup_truck,1
train,00051216.jpg,car,4
train,00066234.jpg,car,2
train,00007644.jpg,motorized_vehicle,5
train,00055315.jpg,car,4
train,00047317.jpg,pickup_truck,1
train,00107814.jpg,articulated_truck,1
train,00039360.jpg,car,1
train,00039608.jpg,pickup_truck,2
train,00103541.jpg,pickup_truck,2
train,00028296.jpg,pickup_truck,6
train,00093332.jpg,car,1
train,00088309.jpg,car,3
train,00039204.jpg,motorized_vehicle,3
train,00059742.jpg,car,1
train,00075639.jpg,car,2
train,00062551.jpg,car,4
train,00030996.jpg,car,6
train,00054186.jpg,car,1
train,00092971.jpg,car,1
train,00011814.jpg,car,1
train,00061039.jpg,car,1
train,00096293.jpg,car,7
train,00061140.jpg,car,1
train,00108695.jpg,pickup_truck,1
train,00043582.jpg,car,2
train,00083400.jpg,car,2
train,00029361.jpg,car,1
train,00091260.jpg,car,5
train,00092088.jpg,car,4
train,00102962.jpg,bus,1
train,00089300.jpg,pickup_truck,1
train,00002440.jpg,car,2
train,00084855.jpg,car,1
train,00035461.jpg,car,7
train,00011273.jpg,pickup_truck,1
train,00072110.jpg,motorized_vehicle,2
train,00046174.jpg,car,4
train,00081768.jpg,single_unit_truck,3
train,00060984.jpg,car,3
train,00081625.jpg,car,2
train,00067395.jpg,car,7
train,00026793.jpg,car,4
train,00032344.jpg,articulated_truck,1
train,00053836.jpg,car,1
train,00091179.jpg,car,3
train,00034261.jpg,bus,1
train,00025673.jpg,car,2
train,00080301.jpg,car,2
train,00046569.jpg,car,1
train,00047939.jpg,car,5
train,00025675.jpg,car,3
train,00024809.jpg,car,5
train,00023067.jpg,car,4
train,00007551.jpg,car,1
train,00016771.jpg,pickup_truck,1
train,00035016.jpg,car,3
train,00077283.jpg,bus,1
train,00065821.jpg,car,1
train,00058294.jpg,car,1
train,00025943.jpg,car,6
train,00033470.jpg,car,2
train,00020394.jpg,car,2
train,00042793.jpg,car,7
train,00099688.jpg,pickup_truck,3
train,00024942.jpg,car,1
train,00045469.jpg,car,1
train,00003821.jpg,car,5
train,00054327.jpg,car,2
train,00000465.jpg,car,1
train,00029598.jpg,car,6
train,00041636.jpg,car,2
train,00097013.jpg,car,3
train,00067765.jpg,pedestrian,4
train,00039248.jpg,car,3
train,00097092.jpg,pickup_truck,9
train,00107486.jpg,pickup_truck,8
train,00020973.jpg,car,5
train,00079502.jpg,car,6
train,00101214.jpg,pickup_truck,1
train,00060215.jpg,car,1
train,00017768.jpg,car,1
train,00098905.jpg,car,5
train,00064595.jpg,car,1
train,00024322.jpg,car,1
train,00109101.jpg,pickup_truck,1
train,00084751.jpg,pickup_truck,6
train,00091174.jpg,car,3
train,00071589.jpg,car,8
train,00105923.jpg,pickup_truck,4
train,00006816.jpg,pickup_truck,1
train,00059791.jpg,car,3
train,00005749.jpg,car,3
train,00043181.jpg,car,6
train,00060282.jpg,car,2
train,00050358.jpg,car,4
train,00001347.jpg,car,1
train,00040286.jpg,car,1
train,00049498.jpg,motorized_vehicle,1
train,00104335.jpg,car,13
train,00048783.jpg,car,1
train,00018041.jpg,car,5
train,00078640.jpg,car,3
train,00072258.jpg,pickup_truck,7
train,00002949.jpg,car,3
train,00063422.jpg,car,1
train,00080345.jpg,car,3
train,00080609.jpg,car,1
train,00043082.jpg,car,2
train,00040275.jpg,car,2
train,00079957.jpg,car,7
train,00068890.jpg,car,2
train,00099545.jpg,car,5
train,00041886.jpg,car,3
train,00081097.jpg,car,3
train,00108573.jpg,car,6
train,00018703.jpg,work_van,2
train,00062758.jpg,car,2
train,00096043.jpg,articulated_truck,1
train,00054314.jpg,motorized_vehicle,5
train,00048614.jpg,car,3
train,00082558.jpg,car,1
train,00004918.jpg,articulated_truck,2
train,00060062.jpg,car,1
train,00044082.jpg,car,1
train,00093414.jpg,car,3
train,00023086.jpg,car,5
train,00016392.jpg,car,4
train,00049641.jpg,car,2
train,00086891.jpg,car,7
train,00024139.jpg,car,2
train,00076390.jpg,car,2
train,00010829.jpg,car,1
train,00024193.jpg,car,4
train,00060604.jpg,articulated_truck,1
train,00107912.jpg,car,2
train,00067417.jpg,car,6
train,00084147.jpg,car,2
train,00034246.jpg,pickup_truck,2
train,00102051.jpg,pickup_truck,1
train,00025382.jpg,car,2
train,00036954.jpg,car,11
train,00017044.jpg,pickup_truck,2
train,00007424.jpg,car,4
train,00077365.jpg,bus,2
train,00027971.jpg,car,2
train,00073877.jpg,car,1
train,00044958.jpg,bus,1
train,00055955.jpg,car,4
train,00032678.jpg,pedestrian,5
train,00029302.jpg,car,5
train,00103696.jpg,car,6
train,00022022.jpg,car,4
train,00076223.jpg,car,4
train,00106614.jpg,car,8
train,00027820.jpg,car,2
train,00086119.jpg,car,7
train,00041485.jpg,pickup_truck,1
train,00056860.jpg,car,3
train,00033647.jpg,car,1
train,00014594.jpg,car,1
train,00094072.jpg,car,2
train,00098787.jpg,car,2
train,00007106.jpg,car,1
train,00080282.jpg,car,2
train,00098108.jpg,car,7
train,00081155.jpg,car,7
train,00082188.jpg,bicycle,6
train,00073706.jpg,pickup_truck,4
train,00024538.jpg,car,3
train,00082126.jpg,motorized_vehicle,2
train,00068861.jpg,car,5
train,00101412.jpg,car,1
train,00077112.jpg,articulated_truck,1
train,00091105.jpg,car,16
train,00045415.jpg,car,3
train,00001256.jpg,car,3
train,00063014.jpg,car,4
train,00093966.jpg,car,1
train,00096574.jpg,car,1
train,00008746.jpg,car,1
train,00070998.jpg,car,2
train,00057602.jpg,car,5
train,00029701.jpg,car,1
train,00012926.jpg,car,5
train,00013339.jpg,articulated_truck,5
train,00097712.jpg,car,3
train,00082209.jpg,car,4
train,00095518.jpg,motorized_vehicle,2
train,00040813.jpg,car,4
train,00094946.jpg,car,1
train,00018123.jpg,car,3
train,00086876.jpg,car,2
train,00060078.jpg,car,1
train,00055890.jpg,motorized_vehicle,2
train,00090809.jpg,car,1
train,00110359.jpg,car,1
train,00013724.jpg,car,3
train,00087229.jpg,car,1
train,00108281.jpg,car,1
train,00082133.jpg,car,5
train,00076146.jpg,pickup_truck,2
train,00071213.jpg,car,3
train,00056148.jpg,car,2
train,00097433.jpg,car,3
train,00076510.jpg,car,4
train,00036591.jpg,car,5
train,00084550.jpg,motorized_vehicle,5
train,00036994.jpg,bus,2
train,00069606.jpg,car,1
train,00066954.jpg,car,1
train,00038848.jpg,car,5
train,00038741.jpg,pickup_truck,2
train,00061197.jpg,car,1
train,00057005.jpg,car,7
train,00109280.jpg,car,2
train,00060625.jpg,pickup_truck,1
train,00073767.jpg,car,4
train,00048129.jpg,bus,1
train,00062780.jpg,car,1
train,00010598.jpg,bus,4
train,00089858.jpg,car,2
train,00069026.jpg,motorized_vehicle,7
train,00027993.jpg,car,3
train,00096326.jpg,car,1
train,00098272.jpg,work_van,1
train,00044043.jpg,car,13
train,00091956.jpg,car,9
train,00082598.jpg,car,1
train,00022497.jpg,bus,2
train,00057276.jpg,non_motorized_vehicle,4
train,00060225.jpg,bus,1
train,00074106.jpg,car,9
train,00020194.jpg,car,4
train,00038022.jpg,car,13
train,00052549.jpg,pickup_truck,1
train,00013509.jpg,car,2
train,00003051.jpg,car,2
train,00014990.jpg,articulated_truck,1
train,00096191.jpg,motorized_vehicle,2
train,00097058.jpg,car,3
train,00006373.jpg,car,1
train,00068361.jpg,car,12
train,00066938.jpg,articulated_truck,2
train,00018021.jpg,car,2
train,00067241.jpg,car,3
train,00080073.jpg,car,2
train,00096324.jpg,car,3
train,00097844.jpg,car,1
train,00075876.jpg,car,3
train,00056454.jpg,car,2
train,00105792.jpg,car,1
train,00007533.jpg,car,4
train,00031250.jpg,car,4
train,00011488.jpg,single_unit_truck,3
train,00056246.jpg,car,2
train,00108830.jpg,car,6
train,00044151.jpg,pickup_truck,2
train,00008784.jpg,car,4
train,00062042.jpg,pickup_truck,1
train,00001176.jpg,work_van,1
train,00000816.jpg,articulated_truck,1
train,00027604.jpg,car,6
train,00045757.jpg,car,6
train,00052594.jpg,car,7
train,00001672.jpg,car,5
train,00101618.jpg,pickup_truck,1
train,00012068.jpg,car,1
train,00078962.jpg,pickup_truck,2
train,00072945.jpg,car,2
train,00071853.jpg,pickup_truck,1
train,00030193.jpg,car,11
train,00041283.jpg,pickup_truck,1
train,00006173.jpg,car,2
train,00098771.jpg,car,8
train,00072437.jpg,pickup_truck,1
train,00094500.jpg,car,3
train,00085893.jpg,car,4
train,00053815.jpg,car,2
train,00063346.jpg,pickup_truck,1
train,00012752.jpg,car,6
train,00003942.jpg,car,7
train,00099298.jpg,car,1
train,00066686.jpg,motorcycle,2
train,00059287.jpg,car,2
train,00102578.jpg,motorized_vehicle,4
train,00066839.jpg,car,2
train,00087093.jpg,car,11
train,00070408.jpg,car,3
train,00096727.jpg,car,1
train,00076482.jpg,car,4
train,00078513.jpg,pickup_truck,3
train,00028948.jpg,car,3
train,00067960.jpg,car,4
train,00109092.jpg,pickup_truck,1
train,00021505.jpg,car,5
train,00002552.jpg,car,1
train,00022838.jpg,pickup_truck,1
train,00019099.jpg,car,2
train,00077367.jpg,car,9
train,00101430.jpg,car,5
train,00028994.jpg,car,3
train,00012779.jpg,pickup_truck,5
train,00083771.jpg,car,1
train,00107320.jpg,car,8
train,00108185.jpg,pickup_truck,1
train,00080442.jpg,pickup_truck,2
train,00078698.jpg,car,2
train,00023788.jpg,car,2
train,00069909.jpg,car,4
train,00034027.jpg,bus,1
train,00109201.jpg,motorized_vehicle,3
train,00060603.jpg,car,2
train,00094937.jpg,car,2
train,00095930.jpg,car,4
train,00007481.jpg,bus,1
train,00038543.jpg,car,3
train,00041375.jpg,car,3
train,00014665.jpg,pickup_truck,1
train,00108580.jpg,car,3
train,00108357.jpg,car,2
train,00006370.jpg,car,6
train,00023924.jpg,car,6
train,00072149.jpg,car,2
train,00008584.jpg,car,1
train,00103325.jpg,car,6
train,00030678.jpg,car,2
train,00074358.jpg,car,8
train,00033237.jpg,pickup_truck,1
train,00106186.jpg,car,10
train,00007738.jpg,car,1
train,00013825.jpg,car,11
train,00104628.jpg,pickup_truck,2
train,00095546.jpg,car,8
train,00063431.jpg,car,2
train,00003231.jpg,car,5
train,00070416.jpg,car,3
train,00079327.jpg,car,1
train,00008526.jpg,work_van,1
train,00076369.jpg,car,1
train,00054043.jpg,car,10
train,00060523.jpg,car,1
train,00095087.jpg,car,1
train,00031743.jpg,pickup_truck,1
train,00003727.jpg,car,2
train,00070538.jpg,car,1
train,00085451.jpg,car,10
train,00023483.jpg,car,3
train,00033156.jpg,pickup_truck,1
train,00080002.jpg,car,6
train,00094075.jpg,car,2
train,00089787.jpg,car,4
train,00031132.jpg,bus,1
train,00017986.jpg,pickup_truck,1
train,00074771.jpg,car,1
train,00102041.jpg,car,2
train,00080913.jpg,car,2
train,00095673.jpg,work_van,1
train,00066878.jpg,pickup_truck,1
train,00092946.jpg,car,2
train,00053427.jpg,car,3
train,00072493.jpg,car,3
train,00092678.jpg,car,7
train,00079850.jpg,car,5
train,00057816.jpg,car,7
train,00065756.jpg,car,2
train,00108842.jpg,car,4
train,00084682.jpg,car,1
train,00082857.jpg,car,4
train,00089161.jpg,pickup_truck,1
train,00090424.jpg,single_unit_truck,3
train,00103562.jpg,pickup_truck,4
train,00086849.jpg,car,1
train,00015149.jpg,pickup_truck,2
train,00105816.jpg,car,1
train,00017502.jpg,car,2
train,00034751.jpg,car,1
train,00103028.jpg,car,5
train,00006379.jpg,car,3
train,00017215.jpg,pickup_truck,4
train,00032297.jpg,car,6
train,00090515.jpg,pickup_truck,1
train,00029774.jpg,car,13
train,00008594.jpg,pickup_truck,10
train,00029938.jpg,car,16
train,00006243.jpg,pickup_truck,2
train,00062817.jpg,car,3
train,00070762.jpg,car,2
train,00051166.jpg,car,3
train,00109420.jpg,bus,1
train,00017428.jpg,car,2
train,00085863.jpg,car,5
train,00066768.jpg,car,7
train,00062879.jpg,car,4
train,00028213.jpg,car,7
train,00043607.jpg,car,8
train,00039496.jpg,motorized_vehicle,3
train,00047688.jpg,car,1
train,00065156.jpg,car,4
train,00058900.jpg,car,10
train,00042638.jpg,car,2
train,00014915.jpg,car,4
train,00070194.jpg,car,1
train,00061825.jpg,car,3
train,00027704.jpg,pickup_truck,1
train,00100251.jpg,car,17
train,00086240.jpg,car,3
train,00068993.jpg,car,3
train,00053920.jpg,car,1
train,00100546.jpg,car,1
train,00006466.jpg,car,2
train,00071170.jpg,car,4
train,00080472.jpg,car,1
train,00044998.jpg,car,3
train,00060670.jpg,car,6
train,00002409.jpg,pickup_truck,2
train,00065730.jpg,car,3
train,00057035.jpg,car,2
train,00102178.jpg,articulated_truck,2
train,00041834.jpg,car,1
train,00014232.jpg,car,5
train,00105842.jpg,car,3
train,00052082.jpg,car,2
train,00014402.jpg,car,6
train,00086661.jpg,car,1
train,00052018.jpg,car,2
train,00080294.jpg,motorized_vehicle,2
train,00104060.jpg,car,2
train,00089746.jpg,bus,1
train,00018079.jpg,car,1
train,00013143.jpg,motorized_vehicle,1
train,00043322.jpg,car,3
train,00038592.jpg,bus,1
train,00070290.jpg,car,1
train,00059601.jpg,car,5
train,00002958.jpg,car,1
train,00089459.jpg,car,5
train,00077749.jpg,car,3
train,00036324.jpg,car,4
train,00069746.jpg,car,3
train,00081635.jpg,car,1
train,00068583.jpg,pickup_truck,1
train,00013119.jpg,pickup_truck,2
train,00014573.jpg,pickup_truck,1
train,00024800.jpg,car,5
train,00043416.jpg,car,2
train,00027486.jpg,car,4
train,00028710.jpg,car,7
train,00073360.jpg,pickup_truck,1
train,00064791.jpg,car,5
train,00102561.jpg,car,2
train,00016460.jpg,car,2
train,00006961.jpg,car,5
train,00042631.jpg,car,1
train,00053646.jpg,car,2
train,00022291.jpg,pickup_truck,3
train,00081651.jpg,car,8
train,00016176.jpg,car,3
train,00090440.jpg,work_van,2
train,00110272.jpg,car,5
train,00068797.jpg,motorized_vehicle,4
train,00032681.jpg,car,15
train,00049764.jpg,car,3
train,00036951.jpg,car,1
train,00072374.jpg,car,3
train,00099211.jpg,car,9
train,00088749.jpg,car,1
train,00069337.jpg,bus,1
train,00062653.jpg,motorized_vehicle,10
train,00106422.jpg,car,3
train,00049747.jpg,bus,2
train,00106343.jpg,car,2
train,00079067.jpg,car,3
train,00025422.jpg,car,8
train,00012016.jpg,car,3
train,00043553.jpg,car,1
train,00049260.jpg,car,7
train,00034336.jpg,car,1
train,00062445.jpg,pickup_truck,7
train,00038907.jpg,car,2
train,00054915.jpg,articulated_truck,1
train,00027351.jpg,car,1
train,00019856.jpg,car,4
train,00094236.jpg,car,14
train,00083087.jpg,car,3
train,00012663.jpg,motorized_vehicle,7
train,00067615.jpg,pickup_truck,2
train,00106642.jpg,car,2
train,00092234.jpg,motorized_vehicle,5
train,00040261.jpg,car,7
train,00030209.jpg,motorcycle,1
train,00104470.jpg,car,11
train,00077627.jpg,car,1
train,00099549.jpg,car,3
train,00040195.jpg,car,5
train,00083211.jpg,car,19
train,00055650.jpg,car,3
train,00055711.jpg,pickup_truck,2
train,00082703.jpg,bus,3
train,00032131.jpg,car,3
train,00017117.jpg,car,2
train,00110265.jpg,pickup_truck,1
train,00050102.jpg,car,3
train,00091114.jpg,car,4
train,00077477.jpg,pickup_truck,1
train,00099821.jpg,pickup_truck,1
train,00103872.jpg,car,4
train,00101936.jpg,car,3
train,00052899.jpg,car,2
train,00102121.jpg,articulated_truck,3
train,00077659.jpg,pickup_truck,3
train,00001411.jpg,car,7
train,00110038.jpg,car,3
train,00005962.jpg,car,9
train,00093972.jpg,car,2
train,00067330.jpg,car,1
train,00081637.jpg,car,3
train,00053484.jpg,car,5
train,00042679.jpg,car,1
train,00069926.jpg,pickup_truck,1
train,00029092.jpg,car,3
train,00101973.jpg,car,4
train,00084535.jpg,car,4
train,00055839.jpg,car,3
train,00100862.jpg,pickup_truck,3
train,00105563.jpg,car,4
train,00031927.jpg,bus,2
train,00085371.jpg,car,5
train,00006948.jpg,pickup_truck,1
train,00080835.jpg,car,1
train,00063103.jpg,car,6
train,00060962.jpg,car,3
train,00006271.jpg,car,4
train,00063975.jpg,car,1
train,00068727.jpg,car,5
train,00024955.jpg,car,4
train,00018699.jpg,car,1
train,00098161.jpg,car,1
train,00110532.jpg,car,2
train,00086595.jpg,car,1
train,00083514.jpg,articulated_truck,1
train,00031752.jpg,car,9
train,00107056.jpg,car,1
train,00085117.jpg,work_van,2
train,00038868.jpg,car,5
train,00064326.jpg,pickup_truck,3
train,00025416.jpg,motorcycle,1
train,00078061.jpg,pickup_truck,1
train,00032945.jpg,pickup_truck,1
train,00012916.jpg,car,3
train,00053593.jpg,car,2
train,00018834.jpg,car,1
train,00024995.jpg,car,6
train,00107650.jpg,articulated_truck,1
train,00040574.jpg,car,1
train,00021994.jpg,pickup_truck,3
train,00028347.jpg,car,2
train,00000732.jpg,bus,1
train,00091595.jpg,car,3
train,00096805.jpg,pickup_truck,1
train,00080169.jpg,car,1
train,00072378.jpg,pickup_truck,2
train,00093339.jpg,car,2
train,00065684.jpg,car,2
train,00081273.jpg,car,2
train,00051865.jpg,car,2
train,00054235.jpg,car,7
train,00012137.jpg,car,1
train,00097143.jpg,car,4
train,00005871.jpg,car,2
train,00049481.jpg,car,4
train,00043271.jpg,articulated_truck,2
train,00105961.jpg,car,7
train,00021779.jpg,car,2
train,00059350.jpg,car,1
train,00015053.jpg,pickup_truck,2
train,00062044.jpg,car,5
train,00094979.jpg,car,3
train,00099492.jpg,car,4
train,00016731.jpg,car,7
train,00010298.jpg,bus,1
train,00063534.jpg,car,3
train,00088437.jpg,car,6
train,00109506.jpg,pickup_truck,2
train,00105924.jpg,pickup_truck,4
train,00013174.jpg,car,6
train,00093984.jpg,car,4
train,00035542.jpg,car,3
train,00018299.jpg,bus,2
train,00075517.jpg,car,2
train,00064004.jpg,car,6
train,00029826.jpg,car,6
train,00073030.jpg,pickup_truck,1
train,00022766.jpg,car,1
train,00041464.jpg,car,3
train,00042207.jpg,bus,1
train,00102601.jpg,articulated_truck,2
train,00097924.jpg,car,7
train,00057343.jpg,car,4
train,00041939.jpg,car,1
train,00068807.jpg,car,1
train,00067531.jpg,pickup_truck,1
train,00049412.jpg,bus,1
train,00036419.jpg,car,2
train,00041972.jpg,car,2
train,00003657.jpg,car,7
train,00056763.jpg,car,2
train,00051454.jpg,pickup_truck,1
train,00080397.jpg,bus,1
train,00072750.jpg,car,9
train,00096262.jpg,car,3
train,00027929.jpg,pickup_truck,1
train,00105561.jpg,pickup_truck,1
train,00041009.jpg,car,2
train,00002677.jpg,pickup_truck,1
train,00106162.jpg,pickup_truck,1
train,00045016.jpg,car,20
train,00009708.jpg,car,2
train,00071715.jpg,pickup_truck,2
train,00104674.jpg,car,1
train,00077344.jpg,car,3
train,00065406.jpg,car,1
train,00028019.jpg,car,3
train,00023315.jpg,car,4
train,00032383.jpg,car,4
train,00015797.jpg,car,6
train,00035677.jpg,car,1
train,00049309.jpg,car,2
train,00067262.jpg,car,5
train,00100938.jpg,car,2
train,00018810.jpg,car,1
train,00015908.jpg,car,2
train,00059670.jpg,car,2
train,00049905.jpg,bus,2
train,00046461.jpg,pickup_truck,1
train,00000049.jpg,car,4
train,00012036.jpg,car,5
train,00060422.jpg,car,3
train,00052111.jpg,single_unit_truck,5
train,00046073.jpg,car,7
train,00005946.jpg,car,1
train,00059115.jpg,car,1
train,00079410.jpg,car,12
train,00025570.jpg,car,2
train,00083768.jpg,pickup_truck,1
train,00106771.jpg,car,2
train,00021223.jpg,car,5
train,00083989.jpg,car,2
train,00082161.jpg,car,2
train,00030687.jpg,pickup_truck,1
train,00109691.jpg,car,5
train,00048898.jpg,car,6
train,00031264.jpg,motorized_vehicle,3
train,00067758.jpg,car,1
train,00064736.jpg,car,4
train,00109739.jpg,car,8
train,00104790.jpg,pickup_truck,1
train,00031951.jpg,single_unit_truck,4
train,00002405.jpg,motorized_vehicle,9
train,00101355.jpg,motorized_vehicle,2
train,00070111.jpg,car,2
train,00000012.jpg,car,8
train,00109713.jpg,pickup_truck,3
train,00009190.jpg,car,8
train,00102077.jpg,car,5
train,00036211.jpg,car,2
train,00099764.jpg,car,4
train,00010023.jpg,car,6
train,00066519.jpg,articulated_truck,2
train,00082786.jpg,car,1
train,00039438.jpg,single_unit_truck,2
train,00013869.jpg,motorized_vehicle,1
train,00054754.jpg,car,1
train,00035817.jpg,car,6
train,00064468.jpg,car,5
train,00100221.jpg,articulated_truck,1
train,00093890.jpg,car,2
train,00086981.jpg,pickup_truck,1
train,00006722.jpg,car,8
train,00037429.jpg,bus,1
train,00089288.jpg,car,4
train,00033061.jpg,articulated_truck,1
train,00029028.jpg,pickup_truck,2
train,00093724.jpg,car,2
train,00075617.jpg,car,2
train,00100634.jpg,pickup_truck,5
train,00035682.jpg,car,2
train,00104337.jpg,pickup_truck,3
train,00030623.jpg,car,2
train,00069234.jpg,articulated_truck,3
train,00053428.jpg,car,18
train,00011541.jpg,car,3
train,00094757.jpg,car,2
train,00036343.jpg,car,1
train,00024846.jpg,car,4
train,00005940.jpg,bus,2
train,00094231.jpg,car,4
train,00108075.jpg,car,5
train,00026375.jpg,car,3
train,00110263.jpg,pickup_truck,4
train,00053259.jpg,car,1
train,00045245.jpg,pickup_truck,4
train,00074806.jpg,motorcycle,1
train,00060644.jpg,car,3
train,00015641.jpg,pickup_truck,1
train,00061090.jpg,car,4
train,00065800.jpg,car,5
train,00012618.jpg,pickup_truck,3
train,00069403.jpg,car,1
train,00041882.jpg,motorized_vehicle,6
train,00101361.jpg,car,1
train,00069976.jpg,motorized_vehicle,4
train,00052268.jpg,car,6
train,00015577.jpg,bus,1
train,00076284.jpg,car,6
train,00027033.jpg,articulated_truck,1
train,00064143.jpg,bicycle,3
train,00091403.jpg,car,3
train,00026289.jpg,car,4
train,00087156.jpg,car,13
train,00029337.jpg,car,2
train,00087943.jpg,pickup_truck,4
train,00077789.jpg,car,2
train,00106437.jpg,car,1
train,00024498.jpg,car,4
